"Timestamp,Target_W,Final_W,P_GAIN,D_GAIN,MAX_TILT_STEP,STOP_THRESHOLD,INIT_TILT_STEP,TILT_BACK_ANGLE,Overshoot(g),Rise_Time,Settling_Time,SS_Error(g),Material,Error_Rate(%),P_D_Ratio,Avg_Pouring_Rate(g/s),Cycle_Time,Overhead_Time",Target_W,Final_W,P_GAIN,D_GAIN,MAX_TILT_STEP,STOP_THRESHOLD,Overshoot,Rise_Time,Settling_Time,SS_Error,Material,Error_Rate(%),P_D_Ratio,Avg_Pouring_Rate(g/s),Cycle_Time,Overhead_Time,,,
2026-02-20 17:07,10,9.319999695,0.015,0.08,0.5,2,0,51.47,51.47,0.68,,,,,,,,,
2026-02-20 17:15,10,10.99,0.015,0.08,0.5,2,0,49.19,49.19,0.99,SMALL2 ?åÎ?ÎπÑÏ¶à ?ëÏ? ?úÌóòÍ¥Ä,9.9,0.19,0.22,55.31,6.11,,,
2026-02-20 17:16,5,0.36,0.015,0.08,0.5,2,15,9.15,9.15,4.64,SMALL2,92.8,0.19,0.04,14.86,5.71,,,
2026-02-20 17:20,5,0.09,0.015,0.08,0.5,2,0.59,82.72,82.72,4.91,SMALL2,98.2,0.19,0,88.82,6.11,,,
2026-02-20 17:21,10,4.22,0.015,0.08,0.5,2,6.62,46.39,46.39,5.78,SMALL2,57.8,0.19,0.09,52.48,6.1,,,
2026-02-20 17:22,10,11.54,0.015,0.08,0.5,2,0,0,50.07,1.54,SMALL2?¥Ï†úÎ∂Ä?∞Ï†ú?ÄÎ°úÎê®,15.4,0.19,0,56.16,6.1,,,
2026-02-20 17:54,7,7.37,0.015,0.08,0.5,2,0,0,64.18,0.37,SMALL2,5.29,0.19,0,70.29,6.11,,,
2026-02-20 17:55,5,7.22,0.015,0.08,0.5,2,0,0,88.79,2.22,SMALL2,44.4,0.19,0,94.89,6.1,,,
2026-02-20 17:58,13,14.34,0.015,0.08,0.5,2,0,42.46,42.46,1.34,SMALL2,10.31,0.19,0.34,48.56,6.1,,,
2026-02-20 18:01,5,3.71,0.015,0.08,0.5,2,0,0,94.14,1.29,SMALL1 ?ëÏ?ÎπÑÏ¶à,25.8,0.19,0,100.25,6.12,,,
