Timestamp,Target_W,Final_W,P_GAIN,D_GAIN,MAX_TILT_STEP,STOP_THRESHOLD,Overshoot(g),Rise_Time,Settling_Time,SS_Error(g),Material,Error_Rate(%),P_D_Ratio,Avg_Pouring_Rate(g/s),Cycle_Time,Overhead_Time
2026-02-20 17:07:45,100,113.84,0.03,,3,10,2.16,18.08,18.08,13.84,하얀색 자갈 용적률 가득,13.84,,6.3,26.08,8.0
2026-02-20 17:15:08,100,116.38,0.03,,3,10,2.5,18.37,18.37,16.38,,16.38,,6.34,26.37,8.0
2026-02-20 17:16:03,50,50.93,0.03,,3,10,0.0,0.0,23.58,0.93,,1.86,,0.0,31.58,8.0
2026-02-20 17:20:26,30,31.83,0.03,,3,10,0.0,0.0,36.58,1.83,,6.1,,0.0,44.58,8.0
2026-02-20 17:21:23,200,261.57,0.03,,3,10,8.99,19.18,19.18,61.57,,30.78,,13.64,27.18,8.0
2026-02-20 17:22:22,150,168.07,0.03,,3,10,0.0,18.24,18.24,18.07,,12.05,,9.21,26.24,8.0
2026-02-20 17:54:26,150,92.77,0.03,,1,10,1.25,11.68,11.68,57.23,,38.15,,7.94,19.68,8.0
2026-02-20 17:55:14,150,0.02,0.03,,1,10,5.95,21.05,21.05,149.98,,99.99,,0.0,29.05,8.0
2026-02-20 17:58:07,150,158.96,0.03,,1,10,0.0,36.36,36.36,8.96,,5.97,,4.37,44.36,8.0
2026-02-20 18:01:24,150,129.52,0.01,,1,30,0.0,0.0,36.57,20.48,,13.65,,0.0,44.57,8.0
2026-02-20 18:04:10,150,146.44,0.01,,1,20,0.0,0.0,36.78,3.56,,2.37,,0.0,44.78,8.0
2026-02-20 18:05:41,200,204.22,0.01,,1,20,0.0,37.38,37.38,4.22,,2.11,,5.46,45.38,8.0
2026-02-20 18:07:13,300,311.33,0.01,,1,20,0.0,39.22,39.5,11.33,,3.78,,7.94,47.5,8.0
2026-02-20 18:09:25,30,22.36,0.01,,1,20,0.0,0.0,82.01,7.64,,25.47,,0.0,90.01,8.0
2026-02-20 18:12:27,50,42.43,0.01,,1,20,0.0,0.0,61.9,7.57,,15.14,,0.0,69.9,8.0
2026-02-20 19:46:08,50,76.57,0.03,,3,10,0.0,0.0,35.58,26.57,,53.14,,0.0,43.58,8.0
2026-02-20 20:04:24,50,56.02,0.03,,3,10,0.0,0.0,24.25,6.02,,12.04,,0.0,32.25,8.0
2026-02-20 20:04:44,30,56.07,0.03,,3,10,26.09,2.96,2.96,26.07,,86.9,,18.94,10.96,8.0
2026-02-20 20:07:13,30,36.01,0.03,,3,10,0.0,0.0,36.44,6.01,,20.03,,0.0,44.44,8.0
2026-02-20 20:08:22,100,106.83,0.01,,1,20,0.0,0.0,39.24,6.83,,6.83,,0.0,47.24,8.0
2026-02-20 20:09:57,200,194.05,0.01,,1,20,0.0,37.91,37.91,5.95,,2.98,,5.12,45.91,8.0
2026-02-20 20:11:53,70,74.27,0.03,,3,10,0.0,23.45,23.45,4.27,,6.1,,3.17,31.45,8.0
2026-02-20 21:48:26,50,70.98,0.03,,3,10,1.63,24.4,24.4,20.98,,41.96,,2.91,32.4,8.0
2026-02-20 21:50:52,200,195.05,0.01,,1,20,0.0,38.07,38.07,4.95,,2.48,,5.12,46.07,8.0
2026-02-20 21:54:12,100,82.45,0.01,,1,20,0.0,0.0,35.85,17.55,,17.55,,0.0,43.85,8.0
2026-02-20 21:56:42,30,45.91,0.03,,3,10,0.38,36.58,36.58,15.91,,53.03,,1.26,44.58,8.0
2026-02-21 14:16:12,50,57.68,0.03,0.05,3,10,0.0,23.51,23.51,7.68,,15.36,0.6,2.45,31.51,8.0
2026-02-21 14:17:45,30,30.65,0.03,0.05,3,10,0.0,0.0,36.27,0.65,,2.17,0.6,0.0,44.27,8.0
2026-02-21 14:18:56,100,82.26,0.01,0.05,1,20,0.0,0.0,36.92,17.74,,17.74,0.2,0.0,44.92,8.0
2026-02-21 14:20:15,300,292.57,0.01,0.05,1,20,0.0,42.25,42.65,7.43,,2.48,0.2,6.92,50.65,8.0
2026-02-21 14:43:36,100,99.14,0.02,0.08,1,12,0.0,36.12,36.12,0.86,,0.86,0.19,2.74,44.12,8.0
2026-02-21 14:44:53,300,298.88,0.02,0.08,1,12,0.0,40.23,44.63,1.12,,0.37,0.19,7.43,52.63,8.0
2026-02-21 14:46:17,200,192.15,0.02,0.08,1,12,6.25,37.94,40.75,7.85,,3.92,0.19,5.06,48.75,8.0
2026-02-21 14:48:25,30,21.94,0.02,0.08,1,12,0.0,0.0,66.04,8.06,,26.87,0.19,0.0,74.04,8.0
2026-02-21 14:49:42,50,61.14,0.02,0.08,1,12,0.0,0.0,48.71,11.14,,22.28,0.19,0.0,56.71,8.0
2026-02-21 14:51:44,50,55.35,0.02,0.08,1,12,0.2,48.28,48.28,5.35,,10.7,0.19,1.15,56.28,8.0
2026-02-21 15:02:44,50,17.13,0.02,0.08,1,12,0.0,49.18,49.18,32.87,분홍색 비즈 용적률 가득,65.74,0.19,0.35,57.18,8.0
2026-02-21 15:06:35,50,65.68,0.02,0.08,1,12,0.0,0.0,48.7,15.68,,31.36,0.19,0.0,56.7,8.0
2026-02-21 15:08:24,30,39.7,0.02,0.08,1,12,0.61,71.36,71.36,9.7,,32.33,0.19,0.56,79.36,8.0
2026-02-21 15:10:00,100,130.22,0.02,0.08,1,12,14.7,40.43,40.43,30.22,,30.22,0.19,3.22,48.43,8.0
2026-02-21 15:19:18,30,26.4,0.02,0.08,1,12,0.0,0.0,88.5,3.6,흰색 작은 비즈 용적률 적게,12.0,0.19,0.0,96.5,8.0
2026-02-21 15:30:47,30,31.07,0.02,0.08,1,12,0.0,0.0,82.76,1.07,제일 작은 비즈 용적률 적게,3.57,0.19,0.0,90.76,8.0
2026-02-21 15:32:19,50,42.81,0.02,0.08,1,12,0.0,0.0,53.41,7.19,,14.38,0.19,0.0,61.41,8.0
2026-02-21 16:35:19,30,-0.15,0.02,0.08,1,12,16.94,21.51,21.51,30.15,무효,100.5,0.19,-0.01,29.51,8.0
2026-02-21 16:37:09,30,21.28,0.02,0.08,1,12,0.0,0.0,76.1,8.72,분홍색 비즈 용적률 적게,29.07,0.19,0.0,84.1,8.0
2026-02-21 16:40:47,50,49.62,0.02,0.08,1,12,0.0,0.0,52.58,0.38,,0.76,0.19,0.0,60.58,8.0
